Abucoins,"[PLN, BTC]"
BTCMarkets,"[BTC, AUD]"
BTER,"[BTC, CNY]"
BXinth,[THB]
Binance,"[USDT, BNB, BTC, ETH]"
BitBay,"[EUR, BTC, PLN, USD]"
BitTrex,"[BTC, USD, ETH]"
Bitfinex,"[BTC, USD, ETH]"
Bithumb,[KRW]
Bleutrade,"[DOGE, ETH, BTC]"
Coinbase,[USD]
Coinfloor,[GBP]
Coinone,[KRW]
Coinroom,"[PLN, EUR, GBP, USD]"
Cryptopia,"[USDT, LTC, DOGE, NZDT, BTC]"
EXX,[BTC]
Exmo,"[ETH, RUB, USD, BTC]"
Gatecoin,[BTC]
Gateio,"[BTC, USDT]"
HitBTC,"[USD, ETH, BTC]"
HuobiPro,[BTC]
Korbit,[KRW]
Kraken,"[USD, BTC, EUR]"
Kucoin,"[KCS, BTC, NEO, USDT, ETH]"
Liqui,"[ETH, BTC, USDT]"
LiveCoin,"[USD, RUR, BTC, ETH, ZBC]"
Novaexchange,"[ETH, BTC, LTC]"
OKCoin,"[CNY, USD]"
OKEX,"[BTC, USDT]"
Poloniex,"[BTC, ETH, USD]"
Quoine,"[USD, JPY, SGD]"
TheRockTrading,[BTC]
Tidex,"[BTC, WEUR, WUSD, WAVES, ETH]"
ViaBTC,"[BTC, CNY]"
WavesDEX,"[USD, BTC, WAVES]"
Yobit,"[BTC, ETH, WAVES, DOGE, RUR, USD]"
Zaif,"[BTC, JPY]"
