Abucoins,[BTC]
BTC38,"[BTC, CNY]"
BTCE,"[USD, EUR, BTC, ETH, LTC, RUB]"
BTER,"[BTC, CNY]"
BXinth,[THB]
Binance,"[BTC, ETH]"
BitSquare,"[BTC, EUR, GBP]"
BitTrex,"[BTC, USD, ETH]"
Bitfinex,"[BTC, USD]"
Bithumb,[KRW]
Bleutrade,"[ETH, DOGE, BTC]"
CCEDK,"[DKK, EUR, BTC, USD, DOGE]"
CCEX,"[DOGE, BTC, LTC, USD, ETH]"
Coinroom,"[PLN, USD, GBP, EUR]"
CryptoX,[BTC]
Cryptopia,"[UNO, LTC, USDT, DOGE, BTC]"
Cryptsy,"[USD, LTC, BTC, XRP]"
Exmo,"[USD, RUB, BTC]"
Gateio,"[BTC, USDT]"
HitBTC,"[ETH, BTC, USD]"
Kraken,"[EUR, BTC, USD]"
Liqui,"[BTC, ETH, USDT]"
LiveCoin,"[USD, BTC]"
Novaexchange,"[LTC, ESP2, DOGE, ETH, BTC]"
OKEX,"[BTC, USDT, ETH]"
Poloniex,"[XMR, BTC, USD]"
Quoine,"[JPY, USD]"
Tidex,"[WEUR, WUSD, ETH, BTC, WAVES, USDT]"
TrustDEX,"[USDT, BTC, VND, AIC]"
TuxExchange,[BTC]
Yobit,"[USD, WAVES, DOGE, ETH, RUR, BTC]"
