Abucoins,[BTC]
BTC38,[CNY]
BTCMarkets,"[AUD, BTC]"
BTER,"[BTC, CNY, ETH]"
Binance,"[ETH, BTC]"
BitSquare,[BTC]
BitTrex,"[USD, BTC, ETH]"
Bitfinex,"[USD, BTC]"
Bithumb,[KRW]
CCEX,"[DOGE, LTC, USD, BTC, ETH]"
CHBTC,[CNY]
Coinone,[KRW]
Cryptopia,"[FTC, LTC, UNO, BTC, NZDT, DOGE, DOT, XMR, USDT]"
EXX,"[USDT, HSR, BTC]"
Exmo,"[USD, RUB, BTC]"
Gateio,"[USDT, BTC, ETH]"
HitBTC,"[ETH, USD, BTC]"
HuobiPro,[BTC]
Jubi,[CNY]
Korbit,[KRW]
Kraken,"[BTC, USD, ETH, EUR]"
Novaexchange,"[KIC, DOGE, ESP2, BTC, LTC, MOON, ETH]"
OKCoin,"[USD, CNY]"
OKEX,"[USDT, BTC, ETH]"
Poloniex,"[USD, BTC, ETH]"
Yobit,"[USD, ETH, RUR, WAVES, BTC, DOGE]"
Yunbi,[CNY]
