Abucoins,[BTC]
BTC38,"[BTC, CNY]"
BTCChina,"[BTC, CNY]"
BTCE,"[CNH, EUR, USD, BTC, GBP, RUB]"
BTCMarkets,"[BTC, AUD]"
BTER,"[CNY, BTC]"
BXinth,"[THB, BTC]"
Binance,"[BTC, ETH, USDT, BNB]"
Bit2C,"[ILS, BTC]"
BitBay,"[USD, PLN, BTC, EUR]"
BitMarket,"[BTC, PLN]"
BitSquare,"[EUR, BTC, DASH]"
BitTrex,"[USD, ETH, BTC]"
Bitfinex,"[USD, BTC]"
Bithumb,[KRW]
Bitstamp,"[BTC, USD, EUR]"
Bleutrade,"[DOGE, BTC, ETH]"
CCEDK,"[DKK, EUR, GBP, BTC, USD]"
CCEX,"[ETH, BTC, DOGE, USD]"
CHBTC,[CNY]
Cexio,"[USD, EUR, BTC]"
Coinbase,"[BTC, EUR, USD]"
Coinone,[KRW]
Coinroom,"[EUR, USD, GBP, PLN]"
Coinse,[BTC]
CryptoX,[BTC]
Cryptopia,"[ETH, USDT, NZDT, BTC]"
Cryptsy,"[XRP, BTC, USD]"
EXX,"[BTC, USDT]"
Exmo,"[BTC, USD, RUB, EUR]"
Gatecoin,"[HKD, BTC, EUR, ETH, USD]"
Gateio,"[BTC, USDT]"
HitBTC,"[USD, ETH, EUR, BTC]"
Huobi,[CNY]
HuobiPro,[BTC]
Jubi,[CNY]
Kraken,"[USD, BTC, EUR]"
Kucoin,"[BTC, NEO]"
LakeBTC,[BTC]
Liqui,"[USDT, ETH, BTC]"
LiveCoin,"[BTC, USD]"
MercadoBitcoin,[BRL]
Novaexchange,"[BTC, ETH]"
OKCoin,"[CNY, USD]"
OKEX,"[BTC, USDT]"
Poloniex,"[XMR, BTC, USD]"
QuadrigaCX,[CAD]
TheRockTrading,"[BTC, EUR, USD]"
Tidex,"[WUSD, WAVES, WEUR, USDT, ETH, BTC]"
TrustDEX,"[BTC, USDT, VND, AIC]"
TuxExchange,[BTC]
WavesDEX,"[P2P, ETH, SXAS, EOT, BCH, WGO, ZEC, B@, BTC, WGR, RBX, WAVES, OCL, EQUA, EUR, USD, WDESK, WTRY]"
Yacuna,"[BTC, EUR]"
Yobit,"[RUR, ETH, DOGE, BTC, USD, WAVES]"
