Abucoins,[BTC]
BTER,"[CNY, BTC]"
BXinth,[BTC]
Binance,"[ETH, BTC]"
BitSquare,[BTC]
BitTrex,"[BTC, USD, ETH]"
Bitfinex,"[BTC, USD]"
Bithumb,[KRW]
CCEX,"[LTC, DOGE, USD, BTC]"
Cryptopia,"[USDT, DOGE, DOT, BTC, NZDT, FTC, UNO, XMR, LTC]"
Exmo,"[EUR, RUB, BTC, USD]"
Gateio,"[BTC, USDT]"
HitBTC,"[ETH, USD, BTC]"
Kraken,"[BTC, CAD, USD, EUR, JPY]"
OKEX,"[USDT, ETH, BTC]"
Poloniex,"[BTC, USD, ETH, XMR]"
TheRockTrading,[BTC]
TuxExchange,[BTC]
WavesDEX,"[EUR, RBX, USD, ETH, BTC, WAVES]"
Yobit,"[WAVES, USD, DOGE, RUR, BTC, ETH]"
Yunbi,[CNY]
